card	id	name	bind-regions	draws-the-design-of
animations::Logo Reveal	anim-reveal-ext-29	Stack Build	3	anim-reveal-ext-1
animations::Logo Reveal	anim-reveal-ext-30	Focus In	3	anim-reveal-ext-1
animations::Slide In	anim-slide-ext-11	From the Left	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-12	From the Right	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-13	From the Top	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-14	From the Bottom	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-15	Overshoot	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-16	Mark then Word	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-17	Push Across	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-18	Diagonal Drift	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-19	Cascade	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-20	Bar Swipe	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-21	From the Left	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-22	From the Right	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-23	From the Top	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-24	From the Bottom	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-25	Overshoot	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-26	Mark then Word	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-27	Push Across	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-28	Diagonal Drift	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-29	Cascade	3	anim-slide-ext-1
animations::Slide In	anim-slide-ext-30	Bar Swipe	3	anim-slide-ext-1
animations::Fade	anim-fade-ext-11	Fade In	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-12	Fade Up	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-13	Cross Dissolve	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-14	Pulse	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-15	Soft Glow	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-16	Fade Through	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-17	Stagger Fade	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-18	Dissolve Grid	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-19	Breathe	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-20	Veil Lift	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-21	Fade In	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-22	Fade Up	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-23	Cross Dissolve	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-24	Pulse	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-25	Soft Glow	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-26	Fade Through	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-27	Stagger Fade	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-28	Dissolve Grid	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-29	Breathe	3	anim-fade-ext-1
animations::Fade	anim-fade-ext-30	Veil Lift	3	anim-fade-ext-1
animations::Rotate	anim-rotate-ext-11	Spin In	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-12	Flip Horizontal	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-13	Flip Vertical	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-14	Tilt Settle	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-15	Orbit	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-16	Ring Spin	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-17	Coin Flip	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-18	Swing	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-19	Turn & Reveal	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-20	Sweep Dial	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-21	Spin In	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-22	Flip Horizontal	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-23	Flip Vertical	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-24	Tilt Settle	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-25	Orbit	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-26	Ring Spin	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-27	Coin Flip	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-28	Swing	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-29	Turn & Reveal	3	anim-rotate-ext-1
animations::Rotate	anim-rotate-ext-30	Sweep Dial	3	anim-rotate-ext-1
